RETAIL PRICE OF PETROLEUM PRODUCTS IN BANGKOK,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,UNIT:BATH/LITRE,
,   1. GASOLINE,,,,,,2.KEROSENE,         3. DIESEL,,,4. FUEL OIL,,5. LPG ,,,,
PRODUCTS,ULG,UGR,GASOHOL 95,,,GASOHOL,,HSD,B5,LSD,600,1500,LOW INCOME,COOKING,INDUSTRY,AUTOBILE,
,95,91,(E10),(E20),(E85),91,,,,,(2%S),(2%S),HOUSEHOLD,,,,
,,,,,,,,,,,,,(B/Kg) ,(B/Kg) ,(B/Kg) ,(B/Kg) ,(BAHT/L) 
2003     (MIN),16.6,15.65,,,,,15.6,14.03,,13.58,10.38,10.02,,14.87,,14.88,8.05
      (WT.AVG)   ,16.6,15.65,,,,,16.71,14.03,,13.73,11,10.36,,14.87,,14.88,8.05
            (MAX),16.6,15.65,,,,,17.41,14.03,,13.85,12.4,11.8,,14.87,,14.88,8.05
    -JAN (MIN),16.8,15.8,,,,,15.32,14.65,,14.19,10.46,10.2,,14.6,,14.81,8.01
          (WT.AVG)   ,16.8,15.8,,,,,16.89,14.65,,14.35,10.94,10.47,,14.6,,14.81,8.01
          (MAX),16.8,15.8,,,,,17.3,14.65,,14.47,11.29,10.81,,14.6,,14.81,8.01
    -FEB (MIN),17.07,16.07,,,,,15.67,14.87,,14.44,10.98,10.71,,14.81,,14.81,8.01
          (WT.AVG)   ,17.07,16.07,,,,,17.23,14.87,,14.53,11.66,11.1,,14.81,,14.81,8.01
          (MAX),17.07,16.07,,,,,17.68,14.87,,14.62,12.61,12.12,,14.81,,14.81,8.01
    -MAR (MIN),16.99,15.99,,,,,16.4,14.79,,14.38,11.54,10.94,,14.81,,14.81,8.01
          (WT.AVG)   ,16.99,15.99,,,,,17.38,14.79,,14.52,11.97,11.38,,14.81,,14.81,8.01
          (MAX),16.99,15.99,,,,,17.7,14.79,,14.65,13.41,12.91,,14.81,,14.81,8.01
    -APR (MIN),16.86,15.86,,,,,16.36,14.66,,14.25,10.78,10.12,,14.81,,14.81,8.01
          (WT.AVG)   ,16.86,15.86,,,,,16.97,14.66,,14.39,11.35,10.83,,14.81,,14.81,8.01
          (MAX),16.86,15.86,,,,,17.27,14.66,,14.52,12.77,12.27,,14.81,,14.81,8.01
    -MAY (MIN),16.25,15.25,,,,,15.96,14.01,,13.6,10.33,9.81,,14.81,,14.81,8.01
          (WT.AVG)   ,16.25,15.25,,,,,16.33,14.01,,13.74,10.77,10.28,,14.81,,14.81,8.01
          (MAX),16.25,15.25,,,,,16.66,14.01,,13.88,11.73,11.23,,14.81,,14.81,8.01
    -JUN (MIN),15.41,14.41,,,,,14.96,12.84,,12.43,10.06,9.8,,14.81,,14.81,8.01
          (WT.AVG)   ,15.41,14.41,,,,,15.88,12.84,,12.57,10.62,9.98,,14.81,,14.81,8.01
          (MAX),15.41,14.41,,,,,16.66,12.84,,12.7,11.97,11.47,,14.81,,14.81,8.01
    -JUL (MIN),16.34,15.34,,,,,14.96,13.03,,12.62,10.06,9.83,,14.81,,14.81,8.01
          (WT.AVG)   ,16.34,15.34,,,,,16.05,13.03,,12.76,10.86,10.15,,14.81,,14.81,8.01
          (MAX),16.34,15.34,,,,,16.94,13.03,,12.89,12.44,11.63,,14.81,,14.81,8.01
    -AUG (MIN),17.19,16.19,,,,,15.48,13.64,,13.22,10.06,9.83,,14.81,,14.81,8.01
          (WT.AVG)   ,17.19,16.19,,,,,16.62,13.64,,13.36,10.87,10.15,,14.81,,14.81,8.01
          (MAX),17.19,16.19,,,,,17.74,13.64,,13.5,12.45,11.63,,14.81,,14.81,8.01
    -SEP (MIN),16.36,15.44,,,,,15.49,13.63,,13.22,10.06,9.8,,14.81,,14.81,8.01
          (WT.AVG)   ,16.36,15.44,,,,,16.63,13.63,,13.37,10.74,10.03,,14.81,,14.81,8.01
          (MAX),16.36,15.44,,,,,17.74,13.63,,13.49,12.45,11.63,,14.81,,14.81,8.01
    -OCT (MIN),16.32,15.42,,,,,15.26,13.77,,13.36,10.06,9.74,,14.81,,14.81,8.01
          (WT.AVG)   ,16.32,15.42,,,,,16.7,13.77,,13.5,10.7,9.98,,14.81,,14.81,8.01
          (MAX),16.32,15.42,,,,,17.74,13.77,,13.63,12.45,11.81,,14.81,,14.81,8.01
    -NOV (MIN),16.58,15.78,,,,,15.26,14.08,,13.36,10.06,9.74,,14.81,,14.81,8.01
          (WT.AVG)   ,16.58,15.78,,,,,16.7,14.08,,13.5,10.7,9.98,,14.81,,14.81,8.01
          (MAX),16.58,15.78,,,,,17.74,14.08,,13.63,12.45,11.81,,14.81,,14.81,8.01
    -DEC (MIN),17.05,16.26,,,,,16.07,14.39,,13.9,10.06,9.75,,15.68,,15.68,8.48
          (WT.AVG)   ,17.05,16.26,,,,,17.16,14.39,,14.11,10.77,10.03,,15.68,,15.68,8.48
          (MAX),17.05,16.26,,,,,17.74,14.39,,14.25,12.75,12.25,,15.68,,15.68,8.48
2004     (MIN),19.05,18.26,,,,,17.73,14.59,,14.28,10.66,10.25,,16.46,,16.46,8.9
      (WT.AVG)   ,19.05,18.26,,,,,19.5,14.59,,14.37,11.75,10.98,,16.46,,16.46,8.9
            (MAX),19.05,18.26,,,,,20.22,14.59,,14.45,13.02,12.53,,16.46,,16.46,8.9
    -JAN (MIN),17.11,16.31,,,,,16.16,14.55,,14.22,9.83,9.6,,15.81,,15.81,8.55
          (WT.AVG)   ,17.11,16.31,,,,,17.42,14.55,,14.32,10.82,10.03,,15.81,,15.81,8.55
          (MAX),17.11,16.31,,,,,17.97,14.55,,14.41,12.88,12.38,,15.81,,15.81,8.55
    -FEB (MIN),16.99,16.19,,,,,16.16,14.59,,14.28,9.76,9.53,,15.81,,15.81,8.55
          (WT.AVG)   ,16.99,16.19,,,,,17.51,14.59,,14.37,10.85,10.04,,15.81,,15.81,8.55
          (MAX),16.99,16.19,,,,,18.28,14.59,,14.45,12.88,12.38,,15.81,,15.81,8.55
    -MAR (MIN),16.99,16.19,,,,,16.16,14.59,,14.28,9.76,9.53,,15.81,,15.81,8.55
          (WT.AVG)   ,16.99,16.19,,,,,17.51,14.59,,14.37,10.92,10.1,,15.81,,15.81,8.55
          (MAX),16.99,16.19,,,,,18.28,14.59,,14.45,12.88,12.38,,15.81,,15.81,8.55
    -APR (MIN),16.99,16.19,,,,,16.22,14.59,,14.28,9.76,9.53,,15.81,,15.81,8.55
          (WT.AVG)   ,16.99,16.19,,,,,17.54,14.59,,14.37,10.94,10.11,,15.81,,15.81,8.55
          (MAX),16.99,16.19,,,,,18.41,14.59,,14.45,12.88,12.38,,15.81,,15.81,8.55
    -MAY (MIN),17.47,16.67,,,,,16.75,14.59,,14.28,9.76,9.53,,16.65,,16.65,9
          (WT.AVG)   ,17.47,16.67,,,,,18.12,14.59,,14.37,11.26,10.41,,16.65,,16.65,9
          (MAX),17.47,16.67,,,,,19.19,14.59,,14.45,12.88,12.38,,16.65,,16.65,9
    -JUN (MIN),18.31,17.51,,,,,16.9,14.59,,14.28,9.76,9.53,,16.81,,16.81,9.09
          (WT.AVG)   ,18.31,17.51,,,,,18.37,14.59,,14.37,11.38,10.55,,16.81,,16.81,9.09
          (MAX),18.31,17.51,,,,,19.36,14.59,,14.45,12.88,12.38,,16.81,,16.81,9.09
    -JUL (MIN),18.85,18.05,,,,,16.9,14.59,,14.28,9.76,9.53,,16.81,,16.81,9.09
          (WT.AVG)   ,18.85,18.05,,,,,18.98,14.59,,14.37,11.37,10.63,,16.81,,16.81,9.09
          (MAX),18.85,18.05,,,,,19.65,14.59,,14.45,12.88,12.38,,16.81,,16.81,9.09
    -AUG (MIN),20.63,19.94,,,,,16.9,14.59,,14.28,11.81,11.19,,16.81,,16.81,9.09
          (WT.AVG)   ,20.63,19.94,,,,,19.8,14.59,,14.37,12.63,11.87,,16.81,,16.81,9.09
          (MAX),20.63,19.94,,,,,20.6,14.59,,14.45,13.02,12.53,,16.81,,16.81,9.09
    -SEP (MIN),21.79,20.99,,,,,18.8,14.59,,14.28,11.86,11.24,,16.81,,16.81,9.09
          (WT.AVG)   ,21.79,20.99,,,,,20.87,14.59,,14.37,12.61,11.86,,16.81,,16.81,9.09
          (MAX),21.79,20.99,,,,,21.32,14.59,,14.45,12.89,12.4,,16.81,,16.81,9.09
    -OCT (MIN),22.02,21.22,,,,,21.19,14.59,,14.28,12.1,11.42,,16.81,,16.81,9.09
          (WT.AVG)   ,22.02,21.22,,,,,22.79,14.59,,14.37,12.89,12.2,,16.81,,16.81,9.09
          (MAX),22.02,21.22,,,,,23.24,14.59,,14.45,13.46,12.97,,16.81,,16.81,9.09
    -NOV (MIN),21.62,20.82,,,,,21.74,14.59,,14.28,11.98,11.36,,16.81,,16.81,9.09
          (WT.AVG)   ,21.62,20.82,,,,,23.33,14.59,,14.37,12.86,12.2,,16.81,,16.81,9.09
          (MAX),21.62,20.82,,,,,23.84,14.59,,14.45,13.66,13.18,,16.81,,16.81,9.09
    -DEC (MIN),19.86,19.06,,,,,18.9,14.59,,14.28,11.73,10.98,,16.81,,16.81,9.09
          (WT.AVG)   ,19.86,19.06,,,,,21.8,14.59,,14.37,12.41,11.7,,16.81,,16.81,9.09
          (MAX),19.88,19.08,,,,,22.45,14.59,,14.45,13.05,12.59,,16.81,,16.81,9.09
2005     (MIN),23.89,23.09,,,,,22.06,20.01,,17.14,13.75,13.1,,16.81,,16.81,9.09
      (WT.AVG)   ,23.9,23.1,,,,,24.51,20.03,,18.18,15.83,15.09,,16.81,,16.81,9.09
            (MAX),23.91,23.11,,,,,25.71,20.05,,19.91,17.3,16.86,,16.81,,16.81,9.09
    -JAN (MIN),19.37,18.57,,,,,18.2,14.59,,14.28,11.42,10.59,,16.81,,16.81,9.09
          (WT.AVG)   ,19.37,18.57,,,,,21.1,14.59,,14.37,12.3,11.5,,16.81,,16.81,9.09
          (MAX),19.37,18.57,,,,,22.03,14.59,,14.45,13.02,12.54,,16.81,,16.81,9.09
    -FEB (MIN),20.13,19.3,,,,,18.2,14.76,,14.28,11.93,11.36,,16.81,,16.81,9.09
          (WT.AVG)   ,20.13,19.3,,,,,21.14,14.76,,14.37,12.74,12.05,,16.81,,16.81,9.09
          (MAX),20.13,19.3,,,,,22.03,14.76,,14.45,13.64,13.16,,16.81,,16.81,9.09
    -MAR (MIN),21.91,21.11,,,,,19.49,16.06,,15.77,12.02,11.52,,16.81,,16.81,9.09
          (WT.AVG)   ,21.91,21.11,,,,,22.56,16.06,,16.08,13.33,13.04,,16.81,,16.81,9.09
          (MAX),21.91,21.11,,,,,23.33,16.06,,16.37,14.36,14.41,,16.81,,16.81,9.09
    -APR (MIN),22.74,21.94,,,,,20.11,18.19,,17.9,12.02,11.52,,16.81,,16.81,9.09
          (WT.AVG)   ,22.74,21.98,,,,,23.85,18.19,,18.21,14.7,14.45,,16.81,,16.81,9.09
          (MAX),22.81,22.01,,,,,25.41,18.19,,18.5,16.6,16.12,,16.81,,16.81,9.09
    -MAY (MIN),22.4,21.6,,,,,19.67,18.19,,17.9,12.02,11.52,,16.81,,16.81,9.09
          (WT.AVG)   ,22.4,21.6,,,,,23.71,18.19,,18.21,14.8,14.59,,16.81,,16.81,9.09
          (MAX),22.4,21.6,,,,,25.8,18.19,,18.5,16.76,16.28,,16.81,,16.81,9.09
    -JUN (MIN),23.17,22.37,,,,,19.99,19.19,,17.92,12.02,11.52,,16.81,,16.81,9.09
          (WT.AVG)   ,23.17,22.37,,,,,23.88,19.37,,18.51,14.72,14.34,,16.81,,16.81,9.09
          (MAX),23.17,22.37,,,,,26.05,19.48,,19.12,17.09,16.61,,16.81,,16.81,9.09
    -JUL (MIN),25.52,24.72,,,,,20.11,22.39,,17.93,12.02,11.52,,16.81,,16.81,9.09
          (WT.AVG)   ,25.56,24.75,,,,,24.33,22.49,,19.48,15.37,15.12,,16.81,,16.81,9.09
          (MAX),25.57,24.77,,,,,26.74,22.54,,22.08,18.09,17.61,,16.81,,16.81,9.09
    -AUG (MIN),26.05,25.25,,,,,23.98,22.9,,17.93,15.23,14.39,,16.81,,16.81,9.09
          (WT.AVG)   ,26.05,25.25,,,,,24.56,22.9,,19.68,17.26,16.06,,16.81,,16.81,9.09
          (MAX),26.05,25.25,,,,,27.12,22.9,,22.74,18.44,17.96,,16.81,,16.81,9.09
    -SEP (MIN),27.35,26.55,,,,,26.53,23.84,,17.93,16.54,15.86,,16.81,,16.81,9.09
          (WT.AVG)   ,27.38,26.58,,,,,27.43,23.86,,19.93,18.73,17.57,,16.81,,16.81,9.09
          (MAX),27.4,26.6,,,,,27.86,23.87,,23.58,20.01,19.53,,16.81,,16.81,9.09
    -OCT (MIN),27.17,26.37,,,,,26.91,24.05,,17.93,16.57,15.79,,16.81,,16.81,9.09
          (WT.AVG)   ,27.18,26.38,,,,,27.55,24.05,,19.99,18.74,17.53,,16.81,,16.81,9.09
          (MAX),27.19,26.39,,,,,27.96,24.05,,23.76,20.01,19.52,,16.81,,16.81,9.09
    -NOV (MIN),25.44,24.64,,,,,26.17,22.94,,17.93,16.48,15.7,,16.81,,16.81,9.09
          (WT.AVG)   ,25.44,24.64,,,,,27.17,22.94,,19.66,18.58,17.39,,16.81,,16.81,9.09
          (MAX),25.44,24.64,,,,,26.67,22.94,,22.68,19.8,19.32,,16.81,,16.81,9.09
    -DEC (MIN),25.46,24.66,,,,,25.36,23.01,,17.93,16.69,15.91,,16.81,,16.81,9.09
          (WT.AVG)   ,25.46,24.66,,,,,26.79,23.01,,19.67,18.63,17.49,,16.81,,16.81,9.09
          (MAX),25.46,24.66,,,,,27.56,23.01,,22.72,19.76,19.28,,16.81,,16.81,9.09
2006    (MIN),27.54,26.75,,,,,26.87,25.56,25.06,25.37,17.22,16.35,,16.81,,16.81,9.09
      (WT.AVG)   ,27.58,26.79,,,,,28.42,25.59,25.09,25.37,18.11,17.29,,16.81,,16.81,9.09
            (MAX),27.66,26.86,,,,,29.25,25.61,25.18,25.37,19.27,18.79,,16.81,,16.81,9.09
    -JAN (MIN),26.67,25.92,,,,,26.04,24.17,23.65,23.88,17.19,16.41,,16.81,,16.81,9.09
          (WT.AVG)   ,26.72,25.92,,,,,27.7,24.17,23.67,23.88,18.97,17.87,,16.81,,16.81,9.09
          (MAX),26.72,25.92,,,,,28.11,24.17,23.67,23.88,20.01,19.53,,16.81,,16.81,9.09
    -FEB (MIN),26.51,25.71,,,,,26.37,24.42,23.92,24.13,17.21,16.38,,16.81,,16.81,9.09
          (WT.AVG)   ,26.51,25.71,,,,,27.72,24.42,23.92,24.13,18.74,17.63,,16.81,,16.81,9.09
          (MAX),26.51,25.71,,,,,28.04,24.42,23.92,24.13,20.54,20.06,,16.81,,16.81,9.09
    -MAR (MIN),26.89,26.09,,,,,26.16,25.35,24.85,25.07,17.3,16.44,,16.81,,16.81,9.09
          (WT.AVG)   ,26.9,26.1,,,,,27.51,25.36,24.85,25.07,18.47,17.43,,16.81,,16.81,9.09
          (MAX),26.9,26.1,,,,,27.96,25.36,24.86,25.07,20.32,19.84,,16.81,,16.81,9.09
    -APR (MIN),27.94,27.14,,,,,26.56,26.19,25.69,26.03,17.64,16.78,,16.81,,16.81,9.09
          (WT.AVG)   ,28.02,27.22,,,,,28.42,26.27,25.71,26.03,18.59,17.62,,16.81,,16.81,9.09
          (MAX),28.06,27.26,,,,,28.77,26.31,25.81,26.03,20.22,19.74,,16.81,,16.81,9.09
    -MAY (MIN),28.99,28.19,,,,,27.4,26.34,25.84,26.19,17.73,16.87,,16.81,,16.81,9.09
          (WT.AVG)   ,29.11,28.31,,,,,29.17,26.45,25.88,26.19,18.61,17.68,,16.81,,16.81,9.09
          (MAX),29.19,28.39,,,,,29.64,26.54,26.04,26.19,20.08,19.6,,16.81,,16.81,9.09
    -JUN (MIN),29.62,28.82,,,,,27.46,27.26,26.79,27.15,17.48,16.62,,16.81,,16.81,9.09
          (WT.AVG)   ,29.69,28.89,,,,,29.39,27.33,26.83,27.15,18.39,17.48,,16.81,,16.81,9.09
          (MAX),29.8,29,,,,,29.72,27.35,27,27.15,19.81,19.33,,16.81,,16.81,9.09
    -JUL (MIN),29.97,29.17,,,,,27.46,27.73,27.23,27.63,17.82,16.69,,16.81,,16.81,9.09
          (WT.AVG)   ,30.07,29.27,,,,,29.46,27.79,27.31,27.63,18.5,17.66,,16.81,,16.81,9.09
          (MAX),30.11,29.31,,,,,30.27,27.82,27.62,27.63,19.52,19.04,,16.81,,16.81,9.09
    -AUG (MIN),29.65,28.92,,,,,27.86,27.54,27.04,27.35,17.9,17.04,,16.81,,16.81,9.09
          (WT.AVG)   ,29.67,28.94,,,,,29.79,27.55,27.11,27.35,18.43,17.64,,16.81,,16.81,9.09
          (MAX),29.86,29.12,,,,,30.65,27.6,27.4,27.35,19.18,18.7,,16.81,,16.81,9.09
    -SEP (MIN),26.87,26.07,,,,,27.75,26.05,25.55,25.86,16.66,15.81,,16.81,,16.81,9.09
          (WT.AVG)   ,26.88,26.08,,,,,28.76,26.05,25.58,25.86,17.27,16.5,,16.81,,16.81,9.09
          (MAX),27.14,26.34,,,,,30.33,26.05,25.7,25.86,17.95,17.47,,16.81,,16.81,9.09
    -OCT (MIN),25.64,24.84,,,,,27.06,24.19,23.69,24,16.66,15.81,,16.81,,16.81,9.09
          (WT.AVG)   ,25.64,24.84,,,,,27.82,24.19,23.69,24,17.22,16.44,,16.81,,16.81,9.09
          (MAX),25.72,24.92,,,,,29.48,24.19,23.69,24,17.95,17.47,,16.81,,16.81,9.09
    -NOV (MIN),25.54,24.74,,,,,26.39,23.87,23.37,23.68,16.63,15.78,,16.81,,16.81,9.09
          (WT.AVG)   ,25.55,24.75,,,,,27.68,23.87,23.37,23.68,17.19,16.4,,16.81,,16.81,9.09
          (MAX),25.69,24.89,,,,,29.03,23.87,23.37,23.68,17.92,17.44,,16.81,,16.81,9.09
    -DEC (MIN),26.19,25.39,,,,,25.96,23.62,23.12,23.43,16.4,15.55,,16.81,,16.81,9.09
          (WT.AVG)   ,26.19,25.39,,,,,27.63,23.62,23.12,23.43,16.96,17.17,,16.81,,16.81,9.09
          (MAX),26.19,25.39,,,,,29.03,23.63,23.12,23.43,17.69,17.21,,16.81,,16.81,9.09
2007    (MIN),29.18,28.32,26.17,,,25.76,26.01,25.66,24.95,25.45,18.48,17.66,,16.91,,16.91,9.14
      (WT.AVG)   ,29.18,28.32,26.17,,,25.76,28.94,25.66,24.95,25.45,19.35,18.45,,16.91,,16.91,9.14
            (MAX),29.23,28.35,26.25,,,25.76,30.5,25.67,24.95,25.45,20.67,20.19,,16.91,,16.91,9.14
    -JAN (MIN),25.71,24.91,24.21,,,,25.24,22.76,22.26,22.57,16.51,15.66,,16.81,,16.81,9.09
          (WT.AVG)   ,25.71,24.91,24.21,,,,26.96,22.76,22.26,22.57,17.01,16.21,,16.81,,16.81,9.09
          (MAX),25.93,25.13,24.43,,,,29.03,22.76,22.26,22.57,17.8,17.32,,16.81,,16.81,9.09
    -FEB (MIN),25.63,24.83,23.9,,,23.39,24.96,23.1,22.6,22.91,15.73,14.87,,16.81,,16.81,9.09
          (WT.AVG)   ,25.63,24.83,23.9,,,23.39,26.82,23.1,22.6,22.91,16.99,16.09,,16.81,,16.81,9.09
          (MAX),25.65,24.85,24.1,,,23.39,29.03,23.1,22.6,22.91,18.51,18.03,,16.81,,16.81,9.09
    -MAR (MIN),27.34,26.54,25.12,,,24.8,24.96,23.62,22.96,23.43,16.22,15.36,,16.81,,16.81,9.09
          (WT.AVG)   ,27.34,26.54,25.12,,,24.8,27.32,23.62,22.96,23.43,17.42,16.49,,16.81,,16.81,9.09
          (MAX),27.34,26.54,25.12,,,24.8,29.07,23.62,22.96,23.43,19,18.52,,16.81,,16.81,9.09
    -APR (MIN),28.68,27.88,26.18,,,25.88,24.96,24.83,24.13,24.64,17.33,16.48,,16.81,,16.81,9.09
          (WT.AVG)   ,28.68,27.88,26.18,,,25.88,27.98,24.83,24.13,24.64,18.39,17.42,,16.81,,16.81,9.09
          (MAX),28.68,27.88,26.18,,,25.88,29.39,24.83,24.13,24.64,20.11,19.63,,16.81,,16.81,9.09
    -MAY (MIN),29.99,29.19,26.86,,,26.56,24.96,25.34,24.64,25.15,17.76,16.91,,16.81,,16.81,9.09
          (WT.AVG)   ,29.99,29.19,26.86,,,26.56,28.1,25.34,24.64,25.15,18.75,17.76,,16.81,,16.81,9.09
          (MAX),29.99,29.19,26.86,,,26.56,29.57,25.34,24.64,25.15,20.54,20.06,,16.81,,16.81,9.09
    -JUN (MIN),30,29.2,26.7,,,26.4,24.96,25.34,24.64,25.15,17.92,17.07,,16.81,,16.81,9.09
          (WT.AVG)   ,30.01,29.21,26.71,,,26.4,28.2,25.34,24.64,25.15,18.91,17.92,,16.81,,16.81,9.09
          (MAX),30.1,29.3,27.09,,,26.4,29.91,25.34,24.64,25.15,20.7,20.22,,16.81,,16.81,9.09
    -JUL (MIN),29.85,29.05,26.39,,,25.75,25.28,25.61,24.91,25.15,18.37,17.6,,16.81,,16.81,9.09
          (WT.AVG)   ,29.85,29.05,26.39,,,25.75,29,25.61,24.91,25.15,19.39,18.41,,16.81,,16.81,9.09
          (MAX),29.85,29.05,26.46,,,25.75,30.55,25.61,24.91,25.15,21.15,20.67,,16.81,,16.81,9.09
    -AUG (MIN),28.53,27.73,25.03,,,24.23,25.36,25.44,24.74,25.25,18.49,17.65,,16.81,,16.81,9.09
          (WT.AVG)   ,28.53,27.73,25.03,,,24.23,29.04,25.44,24.74,25.25,19.53,18.55,,16.81,,16.81,9.09
          (MAX),28.53,27.73,25.03,,,24.23,30.65,25.44,24.74,25.25,21.28,20.8,,16.81,,16.81,9.09
    -SEP (MIN),29.39,28.59,25.89,,,25.09,26.03,26.58,25.88,26.39,18.55,17.7,,16.81,,16.81,9.09
